Substance,Period,Date,Value1,Value2,Value3,Value4
NH3,24h,20.03.2020,100,6,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.03.2020,14,,,
UV,24h,20.03.2020,21,,,
Benzen,24h,,,,,
SO 2,24h,21.03.2020,125,125,8,17
ČAĐ,24h,21.03.2020,50,9,12,11
NO,2 24h,21.03.2020,85,125,2,5
NH3,24h,21.03.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.03.2020,5,,,
UV,24h,21.03.2020,10,,,
Benzen,24h,,,,,
SO 2,24h,22.03.2020,125,125,8,8
ČAĐ,24h,22.03.2020,50,4,6,5
NO,2 24h,22.03.2020,85,125,4,4
NH3,24h,22.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,19.03.2020,50,75,106,
BC,24h,22.03.2020,1,,,
UV,24h,22.03.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,23.03.2020,125,125,8,8
ČAĐ,24h,23.03.2020,50,6,4,8
NO,2 24h,23.03.2020,85,125,4,10
NH3,24h,23.03.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.03.2020,1,,,
UV,24h,23.03.2020,3,,,
Benzen,24h,23.03.2020,,,,
SO 2,24h,24.03.2020,125,125,8,8
ČAĐ,24h,24.03.2020,50,4,6,7
NO,2 24h,24.03.2020,85,125,5,7
NH3,24h,24.03.2020,100,6,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.03.2020,1,,,
UV,24h,24.03.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,25.03.2020,125,125,8,8
ČAĐ,24h,25.03.2020,50,6,10,10
NO,2 24h,25.03.2020,85,125,2,7
NH3,24h,25.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,22.03.2020,50,75,21,
BC,24h,25.03.2020,2,,,
UV,24h,25.03.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,26.03.2020,125,125,8,8
ČAĐ,24h,26.03.2020,50,9,15,4
NO,2 24h,26.03.2020,85,125,4,7
NH3,24h,26.03.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.03.2020,3,,,
UV,24h,26.03.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,27.03.2020,125,125,8,8
ČAĐ,24h,27.03.2020,50,40,47,59
NO,2 24h,27.03.2020,85,125,6,16
NH3,24h,27.03.2020,100,5,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.03.2020,8,,,
UV,24h,27.03.2020,12,,,
Benzen,24h,,,,,
SO 2,24h,28.03.2020,125,125,8,8
ČAĐ,24h,28.03.2020,50,29,23,29
NO,2 24h,28.03.2020,85,125,4,11
NH3,24h,28.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,25.03.2020,50,75,42,
BC,24h,28.03.2020,10,,,
UV,24h,28.03.2020,17,,,
Benzen,24h,,,,,
SO 2,24h,29.03.2020,125,125,8,8
ČAĐ,24h,29.03.2020,50,13,15,17
NO,2 24h,29.03.2020,85,125,4,6
NH3,24h,29.03.2020,100,5,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.03.2020,5,,,
UV,24h,29.03.2020,9,,,
Benzen,24h,29.03.2020,,,,
SO 2,24h,30.03.2020,125,125,8,8
ČAĐ,24h,30.03.2020,50,6,7,8
NO,2 24h,30.03.2020,85,125,3,5
NH3,24h,30.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.03.2020,3,,,
UV,24h,30.03.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,31.03.2020,125,125,8,8
ČAĐ,24h,31.03.2020,50,7,10,8
NO,2 24h,31.03.2020,85,125,2,9
NH3,24h,31.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,28.03.2020,50,75,144,
BC,24h,31.03.2020,2,,,
UV,24h,31.03.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,01.07.2018,125,125,8,8
ČAĐ,24h,01.07.2018,50,4,4,8
NO,2 24h,01.07.2018,85,125,10,7
NH3,24h,01.07.2018,100,6,16,
TSP,24h,,120,,,
PM10,24h,28.06.2018,50,75,15,
BC,24h,01.07.2018,1,,,
UV,24h,01.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,02.07.2018,125,125,8,8
ČAĐ,24h,02.07.2018,50,4,7,4
NO,2 24h,02.07.2018,85,125,11,12
NH3,24h,02.07.2018,100,10,17,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.07.2018,1,,,
UV,24h,02.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,03.07.2018,125,125,8,8
ČAĐ,24h,03.07.2018,50,5,9,8
NO,2 24h,03.07.2018,85,125,14,19
NH3,24h,03.07.2018,100,14,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.07.2018,1,,,
UV,24h,03.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,04.07.2018,125,125,8,8
ČAĐ,24h,04.07.2018,50,4,8,13
NO,2 24h,04.07.2018,85,125,9,9
NH3,24h,04.07.2018,100,11,26,
TSP,24h,,120,,,
PM10,24h,01.07.2018,50,75,23,
BC,24h,04.07.2018,1,,,
UV,24h,04.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,05.07.2018,125,125,8,8
ČAĐ,24h,05.07.2018,50,5,24,9
NO,2 24h,05.07.2018,85,125,13,25
NH3,24h,05.07.2018,100,11,22,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.07.2018,2,,,
UV,24h,05.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,06.07.2018,125,125,8,8
ČAĐ,24h,06.07.2018,50,4,6,6
NO,2 24h,06.07.2018,85,125,11,18
NH3,24h,06.07.2018,100,10,23,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.07.2018,2,,,
UV,24h,06.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,07.07.2018,125,125,8,8
ČAĐ,24h,07.07.2018,50,4,4,5
NO,2 24h,07.07.2018,85,125,8,20
NH3,24h,07.07.2018,100,11,20,
TSP,24h,,120,,,
PM10,24h,04.07.2018,50,75,28,
BC,24h,07.07.2018,1,,,
UV,24h,07.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,08.07.2018,125,125,8,8
ČAĐ,24h,08.07.2018,50,4,4,4
NO,2 24h,08.07.2018,85,125,5,7
NH3,24h,08.07.2018,100,10,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.07.2018,1,,,
UV,24h,08.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,09.07.2018,125,125,8,8
ČAĐ,24h,09.07.2018,50,6,5,7
NO,2 24h,09.07.2018,85,125,10,11
NH3,24h,09.07.2018,100,10,17,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.07.2018,1,,,
UV,24h,09.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,10.07.2018,125,125,8,8
ČAĐ,24h,10.07.2018,50,4,11,9
NO,2 24h,10.07.2018,85,125,8,13
NH3,24h,10.07.2018,100,8,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.07.2018,2,,,
UV,24h,10.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,11.07.2018,125,125,8,8
ČAĐ,24h,11.07.2018,50,5,9,11
NO,2 24h,11.07.2018,85,125,15,15
NH3,24h,11.07.2018,100,12,19,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.07.2018,3,,,
UV,24h,11.07.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,12.07.2018,125,125,8,8
ČAĐ,24h,12.07.2018,50,4,5,8
NO,2 24h,12.07.2018,85,125,10,9
NH3,24h,12.07.2018,100,17,24,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.07.2018,1,,,
UV,24h,12.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,13.07.2018,125,125,8,8
ČAĐ,24h,13.07.2018,50,4,4,8
NO,2 24h,13.07.2018,85,125,10,9
NH3,24h,13.07.2018,100,10,20,
TSP,24h,,120,,,
PM10,24h,10.07.2018,50,75,16,
BC,24h,13.07.2018,2,,,
UV,24h,13.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,14.07.2018,125,125,8,8
ČAĐ,24h,14.07.2018,50,4,4,4
NO,2 24h,14.07.2018,85,125,8,8
NH3,24h,14.07.2018,100,9,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.07.2018,2,,,
UV,24h,14.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,15.07.2018,125,125,8,8
ČAĐ,24h,15.07.2018,50,4,5,7
NO,2 24h,15.07.2018,85,125,7,11
NH3,24h,15.07.2018,100,10,17,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.07.2018,2,,,
UV,24h,15.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,16.07.2018,125,125,8,8
ČAĐ,24h,16.07.2018,50,6,9,18
NO,2 24h,16.07.2018,85,125,13,15
NH3,24h,16.07.2018,100,8,21,
TSP,24h,,120,,,
PM10,24h,13.07.2018,50,75,20,
BC,24h,16.07.2018,3,,,
UV,24h,16.07.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,17.07.2018,125,125,8,8
ČAĐ,24h,17.07.2018,50,4,7,9
NO,2 24h,17.07.2018,85,125,5,8
NH3,24h,17.07.2018,100,9,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.07.2018,3,,,
UV,24h,17.07.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,18.07.2018,125,125,8,8
ČAĐ,24h,18.07.2018,50,4,4,5
NO,2 24h,18.07.2018,85,125,4,6
NH3,24h,18.07.2018,100,9,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.07.2018,1,,,
UV,24h,18.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,19.07.2018,125,125,8,8
ČAĐ,24h,19.07.2018,50,4,5,8
NO,2 24h,19.07.2018,85,125,7,6
NH3,24h,19.07.2018,100,14,19,
TSP,24h,,120,,,
PM10,24h,16.07.2018,50,75,29,
BC,24h,19.07.2018,1,,,
UV,24h,19.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,20.07.2018,125,125,8,8
ČAĐ,24h,20.07.2018,50,4,9,12
NO,2 24h,20.07.2018,85,125,7,6
NH3,24h,20.07.2018,100,11,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.07.2018,2,,,
UV,24h,20.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,21.07.2018,125,125,8,8
ČAĐ,24h,21.07.2018,50,4,9,9
NO,2 24h,21.07.2018,85,125,7,8
NH3,24h,21.07.2018,100,7,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.07.2018,3,,,
UV,24h,21.07.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,22.07.2018,125,125,8,8
ČAĐ,24h,22.07.2018,50,4,4,6
NO,2 24h,22.07.2018,85,125,6,6
NH3,24h,22.07.2018,100,13,19,
TSP,24h,,120,,,
PM10,24h,19.07.2018,50,75,18,
BC,24h,22.07.2018,1,,,
UV,24h,22.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,23.07.2018,125,125,8,8
ČAĐ,24h,23.07.2018,50,13,4,5
NO,2 24h,23.07.2018,85,125,6,5
NH3,24h,23.07.2018,100,21,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.07.2018,1,,,
UV,24h,23.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,24.07.2018,125,125,8,8
ČAĐ,24h,24.07.2018,50,4,4,5
NO,2 24h,24.07.2018,85,125,9,4
NH3,24h,24.07.2018,100,13,25,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.07.2018,1,,,
UV,24h,24.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,25.07.2018,125,125,8,8
ČAĐ,24h,25.07.2018,50,8,6,6
NO,2 24h,25.07.2018,85,125,13,8
NH3,24h,25.07.2018,100,18,27,
TSP,24h,,120,,,
PM10,24h,22.07.2018,50,75,16,
BC,24h,25.07.2018,1,,,
UV,24h,25.07.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,26.07.2018,125,125,8,8
ČAĐ,24h,26.07.2018,50,8,6,10
NO,2 24h,26.07.2018,85,125,13,7
NH3,24h,26.07.2018,100,15,25,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.07.2018,2,,,
UV,24h,26.07.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,27.07.2018,125,125,8,8
ČAĐ,24h,27.07.2018,50,7,4,8
NO,2 24h,27.07.2018,85,125,7,6
NH3,24h,27.07.2018,100,21,22,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.07.2018,2,,,
UV,24h,27.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,28.07.2018,125,125,8,8
ČAĐ,24h,28.07.2018,50,18,8,12
NO,2 24h,28.07.2018,85,125,7,4
NH3,24h,28.07.2018,100,15,21,
TSP,24h,,120,,,
PM10,24h,25.07.2018,50,75,27,
BC,24h,28.07.2018,2,,,
UV,24h,28.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,29.07.2018,125,125,8,8
ČAĐ,24h,29.07.2018,50,7,4,8
NO,2 24h,29.07.2018,85,125,7,4
NH3,24h,29.07.2018,100,12,26,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.07.2018,2,,,
UV,24h,29.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,30.07.2018,125,125,8,8
ČAĐ,24h,30.07.2018,50,10,7,9
NO,2 24h,30.07.2018,85,125,7,2
NH3,24h,30.07.2018,100,13,23,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.07.2018,2,,,
UV,24h,30.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,31.07.2018,125,125,8,8
ČAĐ,24h,31.07.2018,50,15,11,10
NO,2 24h,31.07.2018,85,125,6,9
NH3,24h,31.07.2018,100,15,21,
TSP,24h,,120,,,
PM10,24h,28.07.2018,50,75,22,
BC,24h,31.07.2018,2,,,
UV,24h,31.07.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,01.08.2019,125,125,8,8
ČAĐ,24h,01.08.2019,50,9,7,11
NO,2 24h,01.08.2019,85,125,7,7
NH3,24h,01.08.2019,100,16,14,
TSP,24h,,120,,,
PM10,24h,29.07.2019,50,75,22,
BC,24h,01.08.2019,2,,,
UV,24h,01.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,02.08.2019,125,125,8,8
ČAĐ,24h,02.08.2019,50,4,4,8
NO,2 24h,02.08.2019,85,125,2,4
NH3,24h,02.08.2019,100,15,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.08.2019,3,,,
UV,24h,02.08.2019,4,,,
Benzen,24h,02.08.2019,,,,
SO 2,24h,03.08.2019,125,125,8,8
ČAĐ,24h,03.08.2019,50,6,5,8
NO,2 24h,03.08.2019,85,125,2,3
NH3,24h,03.08.2019,100,15,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.08.2019,2,,,
UV,24h,03.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,04.08.2019,125,125,8,8
ČAĐ,24h,04.08.2019,50,6,5,7
NO,2 24h,04.08.2019,85,125,2,7
NH3,24h,04.08.2019,100,14,10,
TSP,24h,,120,,,
PM10,24h,01.08.2019,50,75,25,
BC,24h,04.08.2019,2,,,
UV,24h,04.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,05.08.2019,125,125,8,8
ČAĐ,24h,05.08.2019,50,7,9,8
NO,2 24h,05.08.2019,85,125,8,9
NH3,24h,05.08.2019,100,18,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.08.2019,3,,,
UV,24h,05.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,06.08.2019,125,125,8,8
ČAĐ,24h,06.08.2019,50,8,8,9
NO,2 24h,06.08.2019,85,125,4,9
NH3,24h,06.08.2019,100,18,21,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.08.2019,2,,,
UV,24h,06.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,07.08.2019,125,125,8,8
ČAĐ,24h,07.08.2019,50,4,6,4
NO,2 24h,07.08.2019,85,125,4,7
NH3,24h,07.08.2019,100,24,19,
TSP,24h,,120,,,
PM10,24h,04.08.2019,50,75,21,
BC,24h,07.08.2019,2,,,
UV,24h,07.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,08.08.2019,125,125,8,8
ČAĐ,24h,08.08.2019,50,7,6,7
NO,2 24h,08.08.2019,85,125,2,2
NH3,24h,08.08.2019,100,19,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.08.2019,2,,,
UV,24h,08.08.2019,3,,,
Benzen,24h,08.08.2019,,,,
SO 2,24h,09.08.2019,125,125,8,8
ČAĐ,24h,09.08.2019,50,17,12,11
NO,2 24h,09.08.2019,85,125,7,12
NH3,24h,09.08.2019,100,15,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.08.2019,5,,,
UV,24h,09.08.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,10.08.2019,125,125,8,8
ČAĐ,24h,10.08.2019,50,6,10,8
NO,2 24h,10.08.2019,85,125,3,9
NH3,24h,10.08.2019,100,24,19,
TSP,24h,,120,,,
PM10,24h,07.08.2019,50,75,30,
BC,24h,10.08.2019,5,,,
UV,24h,10.08.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,11.08.2019,125,125,8,8
ČAĐ,24h,11.08.2019,50,12,15,16
NO,2 24h,11.08.2019,85,125,11,13
NH3,24h,11.08.2019,100,25,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.08.2019,4,,,
UV,24h,11.08.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,12.08.2019,125,125,8,8
ČAĐ,24h,12.08.2019,50,7,10,8
NO,2 24h,12.08.2019,85,125,2,7
NH3,24h,12.08.2019,100,18,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.08.2019,2,,,
UV,24h,12.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,13.08.2019,125,125,8,8
ČAĐ,24h,13.08.2019,50,6,7,8
NO,2 24h,13.08.2019,85,125,3,8
NH3,24h,13.08.2019,100,19,25,
TSP,24h,,120,,,
PM10,24h,10.08.2019,50,75,18,
BC,24h,13.08.2019,1,,,
UV,24h,13.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,14.08.2019,125,125,8,8
ČAĐ,24h,14.08.2019,50,4,5,4
NO,2 24h,14.08.2019,85,125,2,2
NH3,24h,14.08.2019,100,31,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.08.2019,1,,,
UV,24h,14.08.2019,2,,,
Benzen,24h,14.08.2019,,,,
SO 2,24h,15.08.2019,125,125,8,8
ČAĐ,24h,15.08.2019,50,4,5,9
NO,2 24h,15.08.2019,85,125,6,8
NH3,24h,15.08.2019,100,33,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.08.2019,1,,,
UV,24h,15.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,16.08.2019,125,125,8,8
ČAĐ,24h,16.08.2019,50,4,4,5
NO,2 24h,16.08.2019,85,125,8,7
NH3,24h,16.08.2019,100,19,18,
TSP,24h,,120,,,
PM10,24h,13.08.2019,50,75,34,
BC,24h,16.08.2019,3,,,
UV,24h,16.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,17.08.2019,125,125,8,8
ČAĐ,24h,17.08.2019,50,11,14,33
NO,2 24h,17.08.2019,85,125,10,9
NH3,24h,17.08.2019,100,21,24,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.08.2019,6,,,
UV,24h,17.08.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,18.08.2019,125,125,8,8
ČAĐ,24h,18.08.2019,50,10,11,11
NO,2 24h,18.08.2019,85,125,2,6
NH3,24h,18.08.2019,100,17,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.08.2019,4,,,
UV,24h,18.08.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,19.08.2019,125,125,8,8
ČAĐ,24h,19.08.2019,50,9,14,12
NO,2 24h,19.08.2019,85,125,3,13
NH3,24h,19.08.2019,100,17,12,
TSP,24h,,120,,,
PM10,24h,16.08.2019,50,75,19,
BC,24h,19.08.2019,3,,,
UV,24h,19.08.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,20.08.2019,125,125,8,8
ČAĐ,24h,20.08.2019,50,7,18,13
NO,2 24h,20.08.2019,85,125,4,8
NH3,24h,20.08.2019,100,18,19,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.08.2019,2,,,
UV,24h,20.08.2019,3,,,
Benzen,24h,20.09.2019,,,,
SO 2,24h,21.08.2019,125,125,8,8
ČAĐ,24h,21.08.2019,50,8,8,8
NO,2 24h,21.08.2019,85,125,4,7
NH3,24h,21.08.2019,100,18,19,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.08.2019,3,,,
UV,24h,21.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,22.08.2019,125,125,8,8
ČAĐ,24h,22.08.2019,50,16,14,20
NO,2 24h,22.08.2019,85,125,7,7
NH3,24h,22.08.2019,100,22,24,
TSP,24h,,120,,,
PM10,24h,19.08.2019,50,75,32,
BC,24h,22.08.2019,4,,,
UV,24h,22.08.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,23.08.2019,125,125,8,8
ČAĐ,24h,23.08.2019,50,13,15,10
NO,2 24h,23.08.2019,85,125,4,13
NH3,24h,23.08.2019,100,19,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.08.2019,5,,,
UV,24h,23.08.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,24.08.2019,125,125,8,8
ČAĐ,24h,24.08.2019,50,7,12,9
NO,2 24h,24.08.2019,85,125,4,3
NH3,24h,24.08.2019,100,13,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.08.2019,2,,,
UV,24h,24.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,25.08.2019,125,125,8,8
ČAĐ,24h,25.08.2019,50,4,8,6
NO,2 24h,25.08.2019,85,125,2,13
NH3,24h,25.08.2019,100,20,13,
TSP,24h,,120,,,
PM10,24h,22.08.2019,50,75,38,
BC,24h,25.08.2019,2,,,
UV,24h,25.08.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,26.08.2019,125,125,8,8
ČAĐ,24h,26.08.2019,50,6,7,7
NO,2 24h,26.08.2019,85,125,2,2
NH3,24h,26.08.2019,100,15,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.08.2019,2,,,
UV,24h,26.08.2019,3,,,
Benzen,24h,26.08.2019,,,,
SO 2,24h,27.08.2019,125,125,8,8
ČAĐ,24h,27.08.2019,50,6,8,6
NO,2 24h,27.08.2019,85,125,2,13
NH3,24h,27.08.2019,100,19,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.08.2019,1,,,
UV,24h,27.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,28.08.2019,125,125,8,8
ČAĐ,24h,28.08.2019,50,6,18,8
NO,2 24h,28.08.2019,85,125,2,5
NH3,24h,28.08.2019,100,23,17,
TSP,24h,,120,,,
PM10,24h,25.08.2019,50,75,35,
BC,24h,28.08.2019,2,,,
UV,24h,28.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,29.08.2019,125,125,8,8
ČAĐ,24h,29.08.2019,50,5,13,4
NO,2 24h,29.08.2019,85,125,13,21
NH3,24h,29.08.2019,100,16,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.08.2019,2,,,
UV,24h,29.08.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,30.08.2019,125,125,8,8
ČAĐ,24h,30.08.2019,50,13,10,19
NO,2 24h,30.08.2019,85,125,28,16
NH3,24h,30.08.2019,100,16,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.08.2019,5,,,
UV,24h,30.08.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,31.08.2019,125,125,8,8
ČAĐ,24h,31.08.2019,50,8,13,12
NO,2 24h,31.08.2019,85,125,20,12
NH3,24h,31.08.2019,100,16,18,
TSP,24h,,120,,,
PM10,24h,28.08.2019,50,75,37,
BC,24h,31.08.2019,4,,,
UV,24h,31.08.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,01.10.2018,125,125,8,8
ČAĐ,24h,01.10.2018,50,8,13,12
NO,2 24h,01.10.2018,85,125,13,6
NH3,24h,01.10.2018,100,7,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.10.2018,,,,
UV,24h,01.10.2018,,,,
Benzen,24h,,,,,
SO 2,24h,02.10.2018,125,125,8,8
ČAĐ,24h,02.10.2018,50,19,17,25
NO,2 24h,02.10.2018,85,125,18,16
NH3,24h,02.10.2018,100,16,16,
TSP,24h,,120,,,
PM10,24h,29.09.2018,50,75,51,
BC,24h,02.10.2018,1,,,
UV,24h,02.10.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,03.10.2018,125,125,8,8
ČAĐ,24h,03.10.2018,50,43,37,66
NO,2 24h,03.10.2018,85,125,43,24
NH3,24h,03.10.2018,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.10.2018,2,,,
UV,24h,03.10.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,04.10.2018,125,125,8,8
ČAĐ,24h,04.10.2018,50,40,37,62
NO,2 24h,04.10.2018,85,125,27,22
NH3,24h,04.10.2018,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.10.2018,2,,,
UV,24h,04.10.2018,4,,,
Benzen,24h,,,,,
SO 2,24h,05.10.2018,125,125,8,17
ČAĐ,24h,05.10.2018,50,20,26,28
NO,2 24h,05.10.2018,85,125,24,15
NH3,24h,05.10.2018,100,5,10,
TSP,24h,,120,,,
PM10,24h,02.10.2018,50,75,35,
BC,24h,05.10.2018,1,,,
UV,24h,05.10.2018,4,,,
Benzen,24h,,,,,
SO 2,24h,06.10.2018,125,125,8,8
ČAĐ,24h,06.10.2018,50,17,24,22
NO,2 24h,06.10.2018,85,125,26,23
NH3,24h,06.10.2018,100,6,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.10.2018,0,,,
UV,24h,06.10.2018,3,,,
Benzen,24h,06.10.2018,,,,
SO 2,24h,07.10.2018,125,125,8,8
ČAĐ,24h,07.10.2018,50,24,28,27
NO,2 24h,07.10.2018,85,125,23,8
NH3,24h,07.10.2018,100,10,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.10.2018,0,,,
UV,24h,07.10.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,08.10.2018,125,125,8,8
ČAĐ,24h,08.10.2018,50,35,33,51
NO,2 24h,08.10.2018,85,125,33,21
NH3,24h,08.10.2018,100,15,18,
TSP,24h,,120,,,
PM10,24h,05.10.2018,50,75,80,
BC,24h,08.10.2018,0,,,
UV,24h,08.10.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,09.10.2018,125,125,8,8
